T,test_error,train_error
1,0.32782999999999995,0.34595000000000004
2,0.32362999999999986,0.34314000000000017
3,0.30456999999999995,0.32981
4,0.29613999999999985,0.3232299999999999
5,0.2893300000000001,0.3175999999999999
6,0.28561000000000003,0.31521999999999994
7,0.28234,0.3115
8,0.2797800000000001,0.30956000000000006
9,0.2792200000000001,0.30739000000000005
10,0.2772200000000001,0.3074799999999999
11,0.27640999999999993,0.30692999999999987
12,0.2760300000000001,0.30534999999999984
13,0.27491,0.3051
14,0.27369000000000004,0.3048199999999999
15,0.27386,0.30449999999999994
16,0.27319000000000004,0.3039099999999999
17,0.27299,0.30389999999999995
18,0.27254,0.3036899999999999
19,0.27236000000000005,0.30384999999999995
20,0.27240000000000003,0.30373999999999995
21,0.27244,0.30357999999999996
22,0.27218,0.30350999999999995
23,0.27192999999999995,0.3035399999999999
24,0.27189,0.3033099999999999
25,0.27182,0.30350999999999995
26,0.2717,0.30343999999999993
27,0.27173,0.3034799999999999
28,0.27156,0.30347999999999986
29,0.27146,0.30340999999999985
