m,bound
50,0.329797279
150,0.213810133
250,0.173103414
300,0.160357993
400,0.141983111
500,0.129091607
550,0.12392443
600,0.119376456
650,0.115331171
700,0.111700823
750,0.108417863
800,0.105429304
850,0.102692906
900,0.100174515
950,0.097846168
1000,0.095684715
1050,0.0936708
1100,0.091788093
1150,0.090022705
1200,0.088362738
1250,0.086797929
1300,0.085319373
1350,0.083919297
1400,0.082590881
1450,0.081328116
1500,0.080125677
1550,0.078978831
1600,0.077883353
1650,0.076835458
1700,0.075831741
1750,0.074869134
1800,0.073944858
1850,0.073056396
1900,0.072201454
1950,0.071377944
2000,0.070583954
2100,0.069077674
2150,0.068362298
2200,0.067670239
2250,0.067000239
2300,0.066351131
2350,0.065721835
2400,0.065111346
2450,0.064518731
2500,0.063943121
2550,0.063383705
2600,0.062839726
2650,0.062310476
2700,0.061795291
2750,0.061293549
2800,0.060804666
2850,0.060328095
2900,0.059863318
3000,0.05896723
3050,0.058535029
3100,0.058112836
3150,0.057700265
3200,0.057296952
3250,0.056902548
3300,0.056516726
3350,0.056139174
3400,0.055769597
3450,0.055407713
3500,0.055053255
3550,0.054705968
3600,0.05436561
3650,0.054031951
3700,0.053704769
3750,0.053383855
3800,0.053069009
3850,0.052760038
3900,0.052456759
3950,0.052158997
4000,0.051866584
4050,0.05157936
4100,0.05129717
4150,0.051019867
4200,0.050747309
4250,0.05047936
4300,0.050215891
4350,0.049956775
4400,0.049701892
4450,0.049451127
4500,0.049204368
4550,0.048961508
4600,0.048722444
4650,0.048487076
4700,0.04825531
4750,0.048027051
4800,0.047802213
4850,0.047580708
4900,0.047362454
4950,0.047147372
5000,0.046935383
5050,0.046726413
5100,0.04652039
5150,0.046317246
5200,0.046116911
5250,0.045919321
5300,0.045724414
5350,0.045532127
5400,0.045342402
5450,0.045155182
5550,0.044788035
5600,0.044608003
5650,0.044430264
5700,0.044254769
5750,0.04408147
5800,0.043910321
5850,0.043741278
5900,0.043574297
5950,0.043409336
6000,0.043246354
6050,0.043085311
6100,0.042926169
6150,0.042768889
6200,0.042613435
6250,0.042459772
6300,0.042307864
6350,0.04215768
6400,0.042009184
6500,0.041717135
6550,0.04157352
6600,0.041431472
6650,0.041290962
6700,0.041151962
6750,0.041014445
6800,0.040878385
6850,0.040743755
6900,0.04061053
6950,0.040478686
7000,0.040348198
7050,0.040219044
7100,0.0400912
7150,0.039964643
7200,0.039839353
7250,0.039715308
7300,0.039592487
7350,0.039470869
7400,0.039350436
7450,0.039231167
7500,0.039113044
7550,0.038996048
7600,0.038880162
7650,0.038765367
7700,0.038651646
7750,0.038538982
7850,0.038316761
7900,0.038207172
7950,0.038098576
8050,0.037884304
8100,0.037778599
8150,0.037673828
8200,0.037569978
8300,0.037364988
8350,0.03726382
8400,0.037163521
8450,0.037064077
8500,0.036965476
8550,0.036867707
8600,0.036770758
8650,0.036674616
8700,0.036579271
8750,0.036484712
8800,0.036390927
8850,0.036297906
8950,0.036114115
9050,0.035933257
9100,0.035843904
9150,0.035755254
9250,0.035580031
9300,0.035493439
9400,0.035322249
9450,0.035237635
9500,0.035153662
9550,0.035070324
9600,0.034987612
9650,0.034905519
9700,0.034824035
9750,0.034743155
9800,0.03466287
9850,0.034583172
9900,0.034504056
9950,0.034425513
10050,0.034270119
10100,0.034193255
10150,0.034116938
10200,0.03404116
10250,0.033965915
10300,0.033891198
10350,0.033817001
