m,error
50,0.02
150,0.04
250,0.012
300,0.033333333
400,0.0325
500,0.048
550,0.021818182
600,0.001666667
650,0.021538462
700,0.058571429
750,0.02
800,0.005
850,0.036470588
900,0.012222222
950,0.027368421
1000,0.027
1050,0
1100,0.02
1150,0.010434783
1200,0.000833333
1250,0.0144
1300,0.012307692
1350,0.017037037
1400,0.001428571
1450,0.022758621
1500,0.009333333
1550,0.00516129
1600,0.0025
1650,0.013333333
1700,0.001764706
1750,0.010857143
1800,0.011111111
1850,0
1900,0.003684211
1950,0.011282051
2000,0.0075
2100,0.00047619
2150,0.009302326
2200,0.013181818
2250,0.000888889
2300,0.005652174
2350,0.003404255
2400,0.004583333
2450,0.011020408
2500,0.0112
2550,0.010588235
2600,0.001153846
2650,0.006415094
2700,0.01
2750,0.009818182
2800,0.011428571
2850,0.017192982
2900,0.004137931
3000,0.003666667
3050,0.006885246
3100,0.014516129
3150,0.001904762
3200,0.00625
3250,0.008
3300,0.016060606
3350,0.002089552
3400,0.000294118
3450,0.004637681
3500,0.005428571
3550,0.00084507
3600,0.004722222
3650,0.003561644
3700,0.008378378
3750,0.007733333
3800,0.010526316
3850,0.00987013
3900,0.024871795
3950,0.007088608
4000,0.001
4050,0.000740741
4100,0.000243902
4150,0
4200,0.000714286
4250,0.001647059
4300,0.011395349
4350,0.002068966
4400,0.002045455
4450,0.001797753
4500,0.008444444
4550,0.001538462
4600,0.005869565
4650,0.006666667
4700,0.005106383
4750,0.004
4800,0.007291667
4850,0
4900,0.008367347
4950,0.006868687
5000,0.0032
5050,0.000594059
5100,0.005686275
5150,0.000582524
5200,0.003653846
5250,0.00952381
5300,0.006603774
5350,0.001308411
5400,0.002037037
5450,0.000183486
5550,0.000900901
5600,0.001428571
5650,0.003185841
5700,0.000526316
5750,0.01026087
5800,0.009482759
5850,0.003418803
5900,0.000677966
5950,0.004033613
6000,0.003666667
6050,0.001322314
6100,0.004262295
6150,0.004227642
6200,0.000483871
6250,0.0056
6300,0.001111111
6350,0.003149606
6400,0.00609375
6500,0.008
6550,0.000916031
6600,0.006363636
6650,0.004210526
6700,0.008059701
6750,0
6800,0.000588235
6850,0.008905109
6900,0.002463768
6950,0.001870504
7000,0.005428571
7050,0.002836879
7100,0.002957746
7150,0.005594406
7200,0.005277778
7250,0.000965517
7300,0.007123288
7350,0.002040816
7400,0.002567568
7450,0.001744966
7500,0.006
7550,0.006887417
7600,0.000921053
7650,0.001045752
7700,0.001818182
7750,0.007096774
7850,0.003312102
7900,0.003544304
7950,0.004654088
8050,0.006708075
8100,0.009382716
8150,0.003067485
8200,0.005487805
8300,0.005903614
8350,0.002754491
8400,0.005
8450,0.00295858
8500,0.000352941
8550,0.009824561
8600,0.00244186
8650,0.001965318
8700,0.005747126
8750,0.001371429
8800,0.003409091
8850,0.002259887
8950,0.004134078
9050,0.001104972
9100,0.004945055
9150,0.004043716
9250,0.001189189
9300,0.003655914
9400,0.003723404
9450,0.002222222
9500,0.001578947
9550,0.000209424
9600,0.001041667
9650,0.000932642
9700,0.002061856
9750,0.001846154
9800,0.003061224
9850,0.000304569
9900,0.001010101
9950,0.001809045
10050,0.00079602
10100,0.004554455
10150,0.003349754
10200,0.008039216
10250,0.003707317
10300,0.002718447
10350,9.66E-05
10400,0.003365385
10450,0.001052632
10500,0.002571429
10550,0.000853081
10650,0.004694836
10700,0.005794393
10750,0.004186047
10800,0.004351852
10850,0.0040553
10900,0.002385321
10950,9.13E-05
11000,9.09E-05
11100,0.001081081
11200,0.004375
11250,0.000533333
11300,0.005221239
11350,0.002026432
11400,0.001052632
11450,0.000524017
11500,0.000869565
11550,0.003376623
11600,0.002672414
11650,0.004034335
11700,0.000598291
11750,0.000851064
11800,0.000508475
11850,0.004978903
11900,0.001848739
11950,0.002845188
12000,0.003666667
12050,0.0006639
12100,0.00677686
12150,0.002386831
12200,0.001311475
12300,0.006910569
12350,0.005425101
12400,0.005564516
12450,0.000481928
12500,0.00272
12600,0.001666667
12650,0.001343874
12700,0.003858268
12750,0.006588235
12800,0.003359375
12850,0.000933852
12900,0.003875969
12950,0.002239382
13000,0.001692308
13050,0.003295019
13100,0.001603053
13150,0.005247148
13200,0.007878788
13250,0.003622642
13300,0.000300752
13350,0.005692884
13400,0.000820896
13450,0.005799257
13500,0.000222222
13550,0.003394834
13600,0.005441176
13700,0.00350365
13750,0.007636364
13800,0.00326087
